"wallHeatFlux","Points:0","Points:1","Points:2"
2.7292,2,-1,0.05
2.6072,2,-0.99706,0.05
4.5655,2,-0.99118,0.05
3.8769,2,-0.98529,0.05
3.3672,2,-0.97941,0.05
2.9497,2,-0.97353,0.05
2.5918,2,-0.96765,0.05
2.2827,2,-0.96176,0.05
2.0207,2,-0.95588,0.05
1.8038,2,-0.95,0.05
1.6303,2,-0.94412,0.05
1.4983,2,-0.93824,0.05
1.4043,2,-0.93235,0.05
1.3411,2,-0.92647,0.05
1.2977,2,-0.92059,0.05
1.2652,2,-0.91471,0.05
1.2345,2,-0.90882,0.05
1.1965,2,-0.90294,0.05
1.1405,2,-0.89706,0.05
1.0519,2,-0.89118,0.05
0.92177,2,-0.88529,0.05
0.74284,2,-0.87941,0.05
0.50426,2,-0.87353,0.05
0.19881,2,-0.86765,0.05
-0.17712,2,-0.86176,0.05
-0.62536,2,-0.85588,0.05
-1.1423,2,-0.85,0.05
-1.7188,2,-0.84412,0.05
-2.3442,2,-0.83824,0.05
-3.0075,2,-0.83235,0.05
-3.6961,2,-0.82647,0.05
-4.3992,2,-0.82059,0.05
-5.1095,2,-0.81471,0.05
-5.8198,2,-0.80882,0.05
-6.5247,2,-0.80294,0.05
-7.2224,2,-0.79706,0.05
-7.9164,2,-0.79118,0.05
-8.614,2,-0.78529,0.05
-9.3207,2,-0.77941,0.05
-10.04,2,-0.77353,0.05
-10.778,2,-0.76765,0.05
-11.537,2,-0.76176,0.05
-12.317,2,-0.75588,0.05
-13.12,2,-0.75,0.05
-13.946,2,-0.74412,0.05
-14.797,2,-0.73824,0.05
-15.672,2,-0.73235,0.05
-16.568,2,-0.72647,0.05
-17.485,2,-0.72059,0.05
-18.419,2,-0.71471,0.05
-19.372,2,-0.70882,0.05
-20.34,2,-0.70294,0.05
-21.325,2,-0.69706,0.05
-22.329,2,-0.69118,0.05
-23.348,2,-0.68529,0.05
-24.382,2,-0.67941,0.05
-25.43,2,-0.67353,0.05
-26.491,2,-0.66765,0.05
-27.561,2,-0.66176,0.05
-28.638,2,-0.65588,0.05
-29.726,2,-0.65,0.05
-30.852,2,-0.64412,0.05
-32.029,2,-0.63824,0.05
-33.216,2,-0.63235,0.05
-34.395,2,-0.62647,0.05
-35.58,2,-0.62059,0.05
-36.78,2,-0.61471,0.05
-37.997,2,-0.60882,0.05
-39.231,2,-0.60294,0.05
-40.478,2,-0.59706,0.05
-41.733,2,-0.59118,0.05
-42.992,2,-0.58529,0.05
-44.252,2,-0.57941,0.05
-45.51,2,-0.57353,0.05
-46.761,2,-0.56765,0.05
-47.992,2,-0.56176,0.05
-49.199,2,-0.55588,0.05
-50.386,2,-0.55,0.05
-51.567,2,-0.54412,0.05
-52.761,2,-0.53824,0.05
-53.976,2,-0.53235,0.05
-55.198,2,-0.52647,0.05
-56.411,2,-0.52059,0.05
-57.602,2,-0.51471,0.05
-58.767,2,-0.50882,0.05
-59.913,2,-0.50294,0.05
-61.057,2,-0.49706,0.05
-62.21,2,-0.49118,0.05
-63.364,2,-0.48529,0.05
-64.508,2,-0.47941,0.05
-65.643,2,-0.47353,0.05
-66.772,2,-0.46765,0.05
-67.893,2,-0.46176,0.05
-69.003,2,-0.45588,0.05
-70.111,2,-0.45,0.05
-71.215,2,-0.44412,0.05
-72.305,2,-0.43824,0.05
-73.375,2,-0.43235,0.05
-74.423,2,-0.42647,0.05
-75.448,2,-0.42059,0.05
-76.447,2,-0.41471,0.05
-77.422,2,-0.40882,0.05
-78.369,2,-0.40294,0.05
-79.289,2,-0.39706,0.05
-80.185,2,-0.39118,0.05
-81.058,2,-0.38529,0.05
-81.906,2,-0.37941,0.05
-82.73,2,-0.37353,0.05
-83.532,2,-0.36765,0.05
-84.313,2,-0.36176,0.05
-85.072,2,-0.35588,0.05
-85.81,2,-0.35,0.05
-86.527,2,-0.34412,0.05
-87.227,2,-0.33824,0.05
-87.906,2,-0.33235,0.05
-88.568,2,-0.32647,0.05
-89.215,2,-0.32059,0.05
-89.846,2,-0.31471,0.05
-90.462,2,-0.30882,0.05
-91.066,2,-0.30294,0.05
-91.658,2,-0.29706,0.05
-92.275,2,-0.29118,0.05
-92.925,2,-0.28529,0.05
-93.547,2,-0.27941,0.05
-94.104,2,-0.27353,0.05
-94.612,2,-0.26765,0.05
-95.078,2,-0.26176,0.05
-95.497,2,-0.25588,0.05
-95.868,2,-0.25,0.05
-96.19,2,-0.24412,0.05
-96.459,2,-0.23824,0.05
-96.674,2,-0.23235,0.05
-96.833,2,-0.22647,0.05
-96.932,2,-0.22059,0.05
-96.969,2,-0.21471,0.05
-96.941,2,-0.20882,0.05
-96.853,2,-0.20294,0.05
-96.703,2,-0.19706,0.05
-96.497,2,-0.19118,0.05
-96.24,2,-0.18529,0.05
-95.935,2,-0.17941,0.05
-95.588,2,-0.17353,0.05
-95.206,2,-0.16765,0.05
-94.794,2,-0.16176,0.05
-94.357,2,-0.15588,0.05
-93.903,2,-0.15,0.05
-93.44,2,-0.14412,0.05
-92.976,2,-0.13824,0.05
-92.521,2,-0.13235,0.05
-92.085,2,-0.12647,0.05
-91.684,2,-0.12059,0.05
-91.331,2,-0.11471,0.05
-91.058,2,-0.10882,0.05
-90.907,2,-0.10294,0.05
-90.907,2,-0.097059,0.05
-91.123,2,-0.091176,0.05
-91.667,2,-0.085294,0.05
-92.663,2,-0.079412,0.05
-94.245,2,-0.073529,0.05
-96.511,2,-0.067647,0.05
-99.501,2,-0.061765,0.05
-103.23,2,-0.055882,0.05
-107.65,2,-0.05,0.05
-112.5,2,-0.044118,0.05
-116.78,2,-0.038235,0.05
-119.15,2,-0.032353,0.05
-117.89,2,-0.026471,0.05
-104.62,2,-0.020588,0.05
-63.812,2,-0.014706,0.05
182.56,2,-0.0088235,0.05
397,2,-0.0029412,0.05
397,2,0,0.05
